,lat,lon,code
0,351471.7009,3647557.073,2
1,351521.0373,3647559.228,2
2,351574.1303,3647569.664,2
3,351473.965,3647566.424,2
4,351488.1055,3647578.161,2
5,351505.3291,3647594.537,2
6,351461.9095,3647601.086,2
7,351461.9095,3647601.086,2
8,351689.7463,3647613.725,0
9,351689.7463,3647613.725,0
10,351689.7463,3647613.725,0
11,351490.9449,3647609.903,2
12,351506.7587,3647611.312,2
13,351505.233,3647615.545,2
14,351460.5434,3647615.153,2
15,351420.9161,3647629.08,2
16,351479.5162,3647637.811,4
17,351475.8905,3647642.413,4
18,351508.3196,3647645.602,4
19,351496.2559,3647650.327,4
20,351475.1249,3647655.036,4
21,351506.4366,3647658.971,4
22,351468.9331,3647660.329,4
23,351480.741,3647662.146,4
24,351470.0089,3647667.601,4
25,351571.3989,3647674.277,4
26,351480.5718,3647678.068,4
27,351546.5457,3647699.966,4
28,351461.1399,3647697.304,4
29,351572.8678,3647734.094,4
30,351572.8678,3647734.094,4
31,351311.3342,3647762.391,7
32,351706.1105,3647784.155,4
33,351497.5279,3647777.803,6
34,351307.0222,3647772.954,7
35,351493.4074,3647781.144,6
36,351303.4878,3647786.824,7
37,351499.0288,3647806.669,6
38,351499.1878,3647807.24,6
39,351509.1165,3647813.05,6
40,351517.1194,3647817.091,6
41,351473.7292,3647815.959,8
42,351393.9359,3647815.89,7
43,351497.9365,3647823.006,6
44,351467.0231,3647822.814,8
45,351495.0901,3647823.912,6
46,351466.8534,3647829.473,8
47,351468.3046,3647836.42,8
48,351466.3989,3647836.459,7
49,351467.2205,3647838.637,7
50,351555.5774,3647842.319,6
51,351454.7264,3647842.78,7
52,351466.6775,3647843.248,7
53,351469.3363,3647844.82,7
54,351460.9583,3647845.735,7
55,351486.1443,3647862.536,1
56,351496.9824,3647863.637,1
57,351443.4791,3647870.696,1
58,351455.7835,3647871.403,1
59,351466.7963,3647874.996,1
60,351466.7963,3647874.996,1
61,351469.486,3647875.779,1
62,351471.1379,3647879.911,1
63,351450.1089,3647882.026,1
64,351490.9508,3647888.028,1
65,351451.8473,3647890.905,1
66,351820.119,3647917.851,4
67,351454.275,3647905.347,1
68,351450.8677,3647906.682,1
69,351618.1819,3647913.225,6
70,351287.3031,3647901.644,1
71,351274.9154,3647907.712,1
72,351307.1096,3647912.246,1
73,351432.2706,3647918.494,1
74,351498.487,3647922.552,5
75,351464.7508,3647945.86,5
76,351495.2913,3647957.899,5
77,351496.2542,3647961.1,5
78,351370.9283,3647956.764,1
79,351495.9517,3647961.878,5
80,351473.9467,3647961.131,5
81,351463.9422,3647978.137,5
82,351492.2943,3647992.801,5
83,351473.4212,3648004.716,5
84,351494.6447,3648011.533,5
85,351488.8555,3648025.089,5
86,351491.6489,3648025.537,5
87,351500.6687,3648054.583,5
88,351581.1184,3648065.637,5
89,351567.1516,3648068.028,5
90,351550.3535,3648112.671,5
91,351490.5049,3648110.444,3
92,351559.1158,3648115.838,5
93,351336.8906,3648120.027,3
94,351508.3573,3648140.852,3
95,351900.6833,3648159.931,5
96,351473.6657,3648163.106,3
97,351473.6657,3648163.106,3
98,351476.6805,3648176.441,3
